Month,Temp_Min_C,Temp_Max_C,Temp_Avg_C,Rainfall_Total_mm,Rainfall_Seasonal_mm,Humidity_%,Solar_Radiation_MJ_m2_day,Sunshine_Hours_hh_mm,Wind_Speed_kmph,Evapotranspiration_mm_day,Dew_Point_C,Heat_Stress_Days,Frost_Days,Soil_Type,Soil_pH,EC,Organic_Carbon_%,Soil_Moisture_%,Sand_%,Silt_%,Clay_%,Soil_Depth_cm,Water_Holding_Capacity_%,Nitrogen_kg_per_acre,Phosphorus_kg_per_acre,Potassium_kg_per_acre,Zinc_mg_per_kg,Iron_mg_per_kg,Copper_mg_per_kg,Manganese_mg_per_kg,Sulfur_kg_per_acre,Irrigation_Frequency_Level,Water_Quantity_liters_per_acre,Irrigation_Method_Type,Groundwater_Level_meters,Water_Quality_Category,Planting_Date,Harvesting_Date,Crop_Duration_Days,Seed_Rate,Row_Spacing_cm,Row_Gap_cm,Plant_Density,Intercropping,Weed_Control,Soil_Condition_At_Planting,Planting_Method,Mulching,Fertilizer_Split,Drainage_Condition,Variety,Germination_%,Tillering_Count,Cane_Height_cm,Cane_Diameter_cm,Internode_Length_cm,Brix_Value,Disease_Type,Disease_Severity,Pest_Level,Pesticide_Usage,Fertilizer_Type,Fertilizer_Quantity,Application_Timing,Machinery_Use,Labor_Input,Latitude,Longitude,Altitude_m,State,District,Tehsil,Agro_Cluster,Khasra_No,Sugar_Mill,Region,Year,Season,Growth_Stage,Yield_Quintal_per_Acre
Aug,22.223068334080995,33.56207675982265,26.771709252718654,1993.1039829038432,760.91191960084,85.38278982306166,24.453745613034243,,,4.832888903052678,19.01532732137705,,6.0,Alluvial,7.687490761614194,0.860308409278497,0.6107909971059472,25.507839372225476,42.04755129067043,38.22240336057532,25.88261325905214,69.42108806386774,26.758887105253017,189.84988963805722,61.44675147527143,120.14142909751226,1.316061516295032,,2.4564501319357226,6.379645566598939,,Medium,1533.1986285345254,Drip,1.066073697436149,Moderate,2022-01-01 10:15:20,2022-08-19 19:59:26,289.0,9.899930074776783,96.07916820502163,67.17694376514402,111794.03356624703,No,Manual,Wet,Straight Row,No,Split,Good,Co98014,,13.0,217.52004165498607,2.0427484139608105,24.928647074159983,20.81767020997081,Leaf Scald,Medium,Medium,,Organic,86.5290969656925,Mid,No,14.48804955709428,30.1511182900753,78.06643444715483,284.36919843527403,Uttarakhand,Haridwar,Khanpur,Jwalapur_Cluster,7010.0,Uttam Sugar Mills Ltd,Uttarakhand,2018.0,Kharif,Late,388.16856885834295
Jan,4.062367953954281,16.80622629623471,,1832.516801706251,1036.8294079214115,86.7596553638646,18.389363109564783,8:36,5.25282046559769,3.6961410348862627,12.513180028050487,18.0,0.0,Loamy,8.104352721179144,2.0428926544460753,0.47455276011095576,31.655779946523516,20.0607900491989,14.390753518080897,33.51210766738465,97.4923216225226,43.6019276376492,222.82293874131722,95.24392405465417,182.01628264517532,1.1698159269642994,6.567396465915777,0.6217538598694875,6.559268009719301,5.927933212522156,Low,1727.0011662976397,Sprinkler,,Good,2022-10-20 20:24:47,2024-12-02 09:18:41,255.0,12.701483273259282,104.5158158092662,97.0899549203568,137933.88859772612,Yes,Manual,Moist,Paired Row,Yes,Single,Poor,Co0238,66.94272685034092,22.0,,4.415678688778596,16.808649787664365,,Red Rot,Low,High,8.890454994324758,,107.74933905566071,Mid,No,16.559914778349434,30.013262123688836,78.15576110140879,341.2552707798533,Uttarakhand,Haridwar,Khanpur,Manglore_Cluster,1782.0,Uttam Sugar Mills Ltd,Uttarakhand,2023.0,Kharif,Late,405.2310525745545
Sep,18.685571407856997,33.96542313900949,26.27096240218439,1162.612077695189,1054.024884163604,65.60188260655379,21.61024150779903,8:55,9.099394363037437,4.9379036526077895,19.422119837650044,25.0,1.0,Alluvial,7.210470690177912,2.0502827529932537,0.6381542902256749,19.385515753474856,59.77872011783019,29.62900544451982,19.868543644586158,74.08159495439062,25.59790016062227,72.7421061146886,90.4574872426067,181.72105411269524,4.788431776825476,9.051719279999272,2.709754630426971,7.566664281435722,29.7797352252783,Medium,700.8382450025373,,1.5363106072900754,Moderate,2021-03-16 12:31:32,2022-01-06 14:47:05,281.0,8.364560490084703,111.12613512539505,104.81302971729218,145660.35121524724,Yes,Manual,Dry,Trench,No,Split,Poor,Co98014,82.13517163912832,20.0,164.6018394780701,2.0931817407236717,15.718691601966885,21.13549503811232,None,Low,High,1.1177499926345402,DAP,201.11237534997665,Early,Yes,12.794535516111566,30.06862987449849,78.16033273842189,276.76468181099966,Uttarakhand,Haridwar,Laksar,PiranKaliyar_Cluster,4883.0,Uttam Sugar Mills Ltd,Uttarakhand,2021.0,Rabi,Late,214.1499489914205
Dec,6.341748955294186,17.739834795979338,12.33072811890835,1795.5013656361175,493.52539089212445,72.95419331608925,29.858487372844444,9:38,9.502675585437029,7.585864075657531,21.386290753189364,19.0,7.0,Clay,7.215521529970906,1.7307703889216433,0.8220565482286317,21.308846667908462,28.85853861121057,22.40191569301046,14.703924447316915,50.67321722272372,50.61408593840003,170.78325909772593,97.00335156737577,148.48248650754792,1.0240952045382654,5.383802126918159,0.8167386637836773,2.0542715401417992,9.46999638630081,High,1193.8931091592922,Flood,8.159759201004228,Good,2023-04-17 20:12:48,2023-09-09 06:43:03,382.0,7.768150055747931,106.51118596609403,95.33839375672164,87417.15330510461,No,Chemical,Wet,Circular,Yes,Single,Poor,Co98014,70.1385667327169,21.0,,4.349626575041796,23.891858173779625,24.130676193815454,Smut,Low,Low,1.4376330664741377,,180.47461680295004,Early,Yes,34.209415484693245,29.93856502937162,78.06450950305647,297.66647751078966,,Haridwar,Khanpur,Landaura_Cluster,9553.0,Uttam Sugar Mills Ltd,Uttarakhand,2021.0,Kharif,Mid,466.7183395305847
Mar,22.479863327604452,33.689505349581566,28.518412368739476,1006.7934828088701,491.72599721967254,50.2730004306768,22.251897645448224,6:11,11.302555631339034,4.960374968156447,10.978814359174367,23.0,4.0,Loamy,8.056592882760366,1.208996002555896,1.0562474126134858,24.915683120337185,28.25069544276449,21.58096457744123,24.582359547673448,114.14298160770696,42.31625402523812,77.93368406642334,96.14952393082073,,3.0919089544637086,9.183850598423286,,7.635226675169622,18.140942874448605,,1558.9465372370667,Flood,8.275157273595575,Good,2022-04-02 08:39:10,,,5.348173652665242,107.82075186267593,,83563.42449678296,No,Chemical,Dry,Circular,,Split,Good,Co98014,72.47353763974964,23.0,169.3711225955784,3.3553401646841037,22.8275079438595,24.370282317787364,Smut,Low,Low,7.399942719941958,Organic,208.532817009121,Mid,Yes,26.488047904161927,29.848322155356335,78.0581197699081,332.578329289846,Uttarakhand,Haridwar,,Bahadrabad_Cluster,6601.0,Uttam Sugar Mills Ltd,Uttarakhand,2022.0,Rabi,Mid,259.3927379757026
Sep,20.30855516734517,35.10414815431287,28.13050145063147,1145.5238656444817,682.5500806103901,69.89593405344385,17.352260016316677,7:40,7.314961151932041,6.990505188489056,24.2814724216421,26.0,2.0,Loamy,6.221299656031408,0.31733466906567553,1.1617590112623148,29.04276550844873,42.851900756477725,25.348512103640918,12.504410147249096,165.37522263484973,33.551437433028774,133.5071989809761,36.55637232840799,156.82222121732207,3.463897735701233,,0.7234260844313904,,16.043255125575993,Low,1455.4204322725004,Sprinkler,10.78742082879661,Good,2021-12-18 04:31:14,2021-05-15 00:05:41,264.0,11.033358789359625,81.39833067102232,135.9865208074384,62497.16357690509,Yes,Chemical,Dry,Circular,Yes,Split,Poor,CoJ64,93.77848993521653,17.0,290.7705254639816,2.786036296598337,17.016741283462462,18.836214643351823,Leaf Scald,High,High,6.164191654306408,Organic,149.4579028108136,Late,Yes,39.9258476819196,30.1900858868539,78.00326489116631,275.64038359411023,Uttarakhand,Haridwar,Haridwar,,888.0,Uttam Sugar Mills Ltd,,2022.0,Kharif,Early,117.16858240038903
Feb,17.600855310415163,32.84583826181954,25.573105753143086,958.4945388167805,539.7107045490836,62.41601207732654,15.600066333354407,8:44,13.388297246055947,3.8859513473150855,18.328386855417648,13.0,8.0,Clay,7.386077060818243,2.0483510017512985,0.259977136420548,20.992924717930492,28.582735279499477,28.21819674309135,14.681845893360812,67.99942537473632,56.57195592381755,143.5573563248023,20.733725867656275,74.75570672003747,2.00893902232023,8.89097009753829,2.1438064366542213,7.853372149502036,10.8500784770543,High,778.9191542611686,Flood,8.18661584870296,Saline,2023-09-20 06:30:46,2021-06-14 17:17:58,280.0,6.869446483029701,117.30435900595407,75.22199693513977,116939.65667288452,Yes,Manual,Dry,Trench,Yes,Split,Moderate,CoJ64,67.30548821341468,19.0,,3.256561862554124,23.944777508294244,17.565806466553337,Red Rot,High,High,9.549012379678182,Urea,62.90779148336066,Late,Yes,13.769882625005923,29.857387105611625,78.2660444842266,257.45681910652365,Uttarakhand,Haridwar,Haridwar,Iqbalpur_Cluster,1730.0,Uttam Sugar Mills Ltd,Uttarakhand,2021.0,Kharif,Mid,79.16769381184454
Oct,19.451580213382712,31.994516532049754,26.14400007431324,1175.9894795609898,954.4985697413659,88.74763109722579,17.56408392203365,9:00,10.719170174722445,5.956922819332107,17.759809924063575,21.0,6.0,Clay,7.595150953533873,1.262736553551648,0.8816166637917688,,33.83504226768096,11.94493676790118,26.05892101401282,140.53472733488513,34.39592034147067,142.46266625720762,93.48023260393867,196.48987880393375,3.6366382659358183,9.314325158681726,1.3328297453642066,1.621438250187715,8.525575154357199,Medium,1677.959563279072,Flood,10.254591382188146,Moderate,2020-02-04 04:23:46,2022-05-20 23:43:58,267.0,13.611431005269717,69.78602437600128,132.59762770924186,144764.6938190916,No,Manual,Moist,Straight Row,No,Split,Poor,Co98014,80.4617307592087,5.0,245.31194259965633,2.3119571253202675,18.393295777634517,20.04988603519606,Leaf Scald,Low,Low,9.599292205696464,Organic,169.7753657056645,Late,Yes,28.484533288991255,30.112769884723626,78.15410688981032,317.07876440160396,Uttarakhand,,Haridwar,Jwalapur_Cluster,7190.0,Uttam Sugar Mills Ltd,Uttarakhand,2019.0,Kharif,Early,440.20347757806627
Dec,13.463994027573147,23.941185025826307,16.834537774075088,1545.135304850906,932.98792320463,50.75884585963007,20.299971547288305,5:43,6.290609402638176,6.420965241365739,17.91493487815152,6.0,0.0,Sandy,6.277378274368735,0.7813435384747798,0.8751927299947004,36.334662129477586,34.31342501718673,35.02301911172271,26.577759099550054,162.2175728450507,20.360396153218062,132.00422363185436,56.66684227870341,56.861067231779714,3.5894670827703212,6.732804149281434,2.6284066960943866,5.438148506845857,,Medium,1578.0972219157927,Drip,9.396323733043829,Saline,2020-02-21 21:45:14,2021-11-05 06:32:51,335.0,9.50569039571116,,79.6625314897082,123002.42662758002,No,Manual,Dry,,No,Split,Poor,Co98014,72.39428939784881,15.0,179.98820497856542,2.0460637087283633,15.299822465939815,23.247998134201417,Red Rot,Medium,Low,,Urea,79.20568610717145,Early,Yes,31.903561218159993,29.814677492001383,,322.37339041564684,Uttarakhand,Haridwar,Roorkee,Manglore_Cluster,3804.0,Uttam Sugar Mills Ltd,Uttarakhand,2018.0,Rabi,Late,266.18000934899777
Jan,6.6379021085022565,15.479199458713893,12.139570386882369,1969.1450672151202,868.8047624276957,54.3982384704872,29.39194192483894,9:56,8.37609906063608,6.809406945746296,15.68223090414698,24.0,0.0,Alluvial,7.00957767318115,1.8015064871148043,0.5924635291627229,12.171739964309507,32.13396943923895,18.08658279568823,36.203003140388184,156.0253682696819,48.848627567918726,74.45450237778883,38.26756859760565,143.46971626313177,4.027956774407596,2.5636467753108443,2.8679248040448666,7.546691419774619,5.894059001152455,Medium,1769.9117470548042,Flood,18.338108957905796,Good,,2024-06-20 20:28:01,397.0,13.287026439048946,87.49722220935533,112.36766367519454,87111.32634900729,No,Manual,Dry,Trench,No,Single,Moderate,CoJ64,86.5849875302249,16.0,193.51351990245772,4.883491099617901,,19.70199456191348,Leaf Scald,Low,Medium,8.963024035807772,Organic,91.1679320757882,Early,No,25.952499175477534,30.047111937828706,78.1771876651657,321.2157146439003,Uttarakhand,Haridwar,Roorkee,Dhanauri_Cluster,1061.0,Uttam Sugar Mills Ltd,,2021.0,Kharif,Mid,203.92908691687364
Mar,17.594729900447323,27.878989810608225,22.077834209616913,1287.962066747663,767.3595067163096,69.04378579012833,27.868436359127372,8:30,5.319077269291682,3.5867271349305203,24.958094961217867,9.0,7.0,Alluvial,7.798996711890899,1.0139568561953631,1.2103668986584712,20.152335508828834,36.88422305125077,29.407935387968877,26.550818293921576,129.58344991678706,51.14828206233599,92.57873940455512,24.42725644705513,195.66513231139209,3.635471361636613,2.8997611172484437,1.035171392376608,5.39239487168753,9.43409017738805,Medium,,Flood,1.0949251863098939,Good,2022-02-03 22:18:32,2022-07-20 17:09:43,280.0,12.517822792089145,116.44545448064468,102.23850528376224,91372.44465991095,No,Chemical,Moist,Trench,No,Split,Moderate,Co0238,99.37412299460325,9.0,265.73183161272885,4.148037862833346,11.239881330350595,19.893343731999224,Smut,High,High,4.581334244502656,DAP,159.6456269674698,Mid,Yes,30.533264424572486,29.81864574454796,78.02250727497672,271.8298861853788,,Haridwar,Haridwar,Narsan_Cluster,4702.0,Uttam Sugar Mills Ltd,Uttarakhand,2018.0,Kharif,Late,191.3704573558935
Mar,24.41291595617961,33.11934745558764,29.816533238524478,1942.4927959345225,979.3646581567592,50.43993604281839,22.962896629908062,8:25,11.466599395927716,3.8393304117557583,24.65981491293203,29.0,2.0,,8.444758436202692,2.439240599167161,1.0018507916184802,36.941364630812075,43.965888779532506,10.259061764840357,26.482892477797122,160.3230893094654,59.04476854254543,230.36074005016962,45.62499219098139,141.698535832265,1.4654272238189376,4.631548858343924,2.157351173588475,5.299887270339718,24.68380051665479,Medium,1697.810019445057,Sprinkler,8.764906542391351,Saline,2023-05-13 18:06:14,2022-01-24 21:27:41,376.0,8.031882129951223,86.58373445394069,69.02571063853384,92625.18102008756,Yes,Chemical,Dry,Paired Row,No,Split,Good,Co98014,97.79151712589021,19.0,184.2335774233445,4.166846700297419,23.705231197011045,24.85923048630934,Red Rot,Medium,Low,6.170204435855737,Organic,299.68668233814515,Early,Yes,16.847886129873537,30.036743338477045,78.15848829542148,276.9032241827695,Uttarakhand,Haridwar,Haridwar,Narsan_Cluster,1602.0,Uttam Sugar Mills Ltd,Uttarakhand,2022.0,Rabi,Early,355.38260549739533
Jun,25.778451075754226,40.83771720001869,33.18701443308071,1909.3932302363503,682.7316516002273,58.61140900308766,26.21164855150038,6:16,14.308991441163732,7.880053061644368,21.77675733989797,0.0,3.0,Alluvial,7.635913413941471,0.4262586651757232,0.5406923855124468,28.444371665199434,47.51455766311611,,14.298017052048024,126.07977476675062,46.100626271584616,73.39966553776607,80.10271721512663,135.73893558810184,,5.107678727957267,0.9521431348292615,5.65026148569201,10.402797358330762,Medium,1853.9270700978252,,3.8345162854616675,Saline,2021-07-14 18:08:21,2023-09-12 08:42:27,364.0,8.270600341197833,108.83478357677484,99.74200493822448,91529.61124947332,No,Chemical,Moist,Trench,No,Split,,CoJ64,76.8847137867626,18.0,312.55496517008805,3.9851032085788987,20.401774856858314,21.7039677037559,Smut,,High,8.145382281714548,DAP,,Early,No,15.793793702166333,29.862174199765555,78.07947785370817,250.88629624691202,Uttarakhand,Haridwar,Haridwar,Jwalapur_Cluster,8136.0,Uttam Sugar Mills Ltd,Uttarakhand,2023.0,Rabi,Late,160.76233711223034
Nov,23.351044715512607,34.93547347399649,27.53594630745753,1307.3388086787247,1052.4968246203928,,21.158743224430424,7:04,6.8689215694622705,7.896154562312002,15.565736751418797,19.0,1.0,Sandy,7.677486445020888,0.48656159419073153,0.480448869025255,33.40917268848787,27.16818616892175,28.69228655496654,19.402548612658364,59.00605569126584,43.0659251032703,153.96926830598022,86.10751127809226,74.70445504031886,3.822168428032978,4.517818182321056,1.2645597781795643,5.3253287608804145,19.686151979866906,Low,687.2443765344691,Flood,10.436643737150268,Good,2021-07-04 14:55:25,2022-01-11 11:26:16,267.0,9.742498402130995,111.99592764275255,138.4570629442735,122257.81467314537,No,Manual,Wet,Paired Row,No,Single,Moderate,CoJ64,73.92295574782723,19.0,258.4137318389692,2.418485533456394,15.044515937097076,17.324341050515347,Leaf Scald,Low,Medium,8.546995752276183,DAP,253.76666715651513,Early,,19.915253048201834,30.173107388853147,78.07075859014245,240.76271277565624,Uttarakhand,,Haridwar,,4196.0,Uttam Sugar Mills Ltd,Uttarakhand,2021.0,Kharif,Early,408.49060583409283
Apr,36.64031958272095,47.9738206770001,40.83414905274081,1268.6892531109625,910.4451666260924,80.42171938623227,27.1532375430355,7:37,11.354786393808666,3.925620710545279,11.54092030216737,6.0,6.0,Alluvial,7.29702025310906,0.2143173008280428,1.1874882488483274,13.342804409876152,32.1353987980449,28.255014005693166,25.069863446062513,,37.50966126998409,231.07950412410702,93.34590483822619,130.12637423903584,2.0670981328758864,3.252258184358361,1.1711111409614354,7.675747038386565,5.746363142568224,Medium,1830.667847479037,Flood,5.515955850955406,Saline,2021-11-12 06:54:55,2024-03-11 17:22:26,392.0,14.758785468574594,115.31852580058347,132.47945771878955,109745.75423814228,Yes,Chemical,Wet,Trench,,Split,Good,Co0238,69.8632651475881,17.0,320.39188166071176,3.2332453525869744,24.598090043606646,15.413690609766725,Red Rot,Low,High,4.691626078300104,Urea,214.63699540151032,Early,No,,30.172540429990327,78.01136215683012,310.00574297849374,Uttarakhand,Haridwar,Haridwar,Landaura_Cluster,6790.0,Uttam Sugar Mills Ltd,Uttarakhand,2022.0,Rabi,Late,371.40098476105084
May,34.10172164738794,45.331907287328015,38.806807112983954,827.9867978752101,853.5902659514804,68.34896215322317,16.520923257495202,9:26,4.941418206984334,7.947842939301083,15.55859267648266,17.0,2.0,Clay,,0.12491577592611086,1.0645625742151934,31.611211756269153,56.54012872421226,25.501793122664456,39.99069632158119,180.4950036909622,31.959945862186423,137.1061083692496,103.8911622349041,175.30186977458447,2.399231910240598,5.242435101388814,1.1021750416852076,1.548851969731329,6.348878239190668,Medium,1375.427067639385,Drip,18.07567647880629,Good,2020-11-20 20:09:37,,356.0,7.756458451716676,90.30124820817296,105.96081295527736,109026.05966358335,No,Manual,Dry,Trench,No,Single,Poor,CoJ64,75.94453454670511,15.0,291.21275815457125,2.205035011665877,,20.25731955876214,None,Low,High,5.603876465768158,Organic,268.4724984653679,Late,Yes,19.683863026016233,30.105195630679255,78.06892823835939,287.5479109586771,Uttarakhand,Haridwar,Bhagwanpur,PiranKaliyar_Cluster,1190.0,Uttam Sugar Mills Ltd,Uttarakhand,2023.0,Kharif,Early,324.37381533024796
Nov,21.058941954295786,34.454652749337725,28.266520574606403,1398.7847165297599,530.8525978690298,59.8596781773341,17.07586317311008,8:58,13.249632391037562,6.913413659084779,24.09615293297913,24.0,7.0,Sandy,7.898119129920857,1.6354631777049788,,15.985259769817041,47.83260005188682,19.81546623443542,11.535285838315918,148.8284087127157,46.35300114143553,248.7142298179229,53.64086337951772,173.947959354076,4.801977091535349,4.145745379452039,0.49292492963834894,5.854944982909444,23.031716740273065,Low,1308.2367501031963,Drip,15.081273821536179,Good,2023-02-03 10:31:25,2023-09-26 12:19:28,259.0,12.754430256194826,95.91271757448737,79.7947306664899,138124.2268410056,No,Manual,Moist,Trench,Yes,Split,Good,Co0238,81.86392305894572,24.0,234.42963865654957,3.278626284359462,13.76852278039367,18.788265108673727,None,Medium,Medium,6.3589348910072285,DAP,,Late,No,19.926076731337012,30.166045096068387,,258.9717708116421,Uttarakhand,Haridwar,Bhagwanpur,Dhanauri_Cluster,6913.0,Uttam Sugar Mills Ltd,Uttarakhand,2023.0,Kharif,Late,397.56972386441197
Sep,20.722299587778704,32.815970647935224,25.14567154751279,,1068.1793634714286,53.71893253783201,16.12950310199346,5:04,5.042975276152401,2.1540222193787253,11.60068664976706,21.0,4.0,Alluvial,,2.241903735165755,0.3259682988792909,35.774675330492684,32.52473689217059,10.527629027573454,31.2954649077037,191.90182800883537,47.50582470398443,95.54827521282476,37.315000963845264,176.24627581008343,1.2535541126422454,5.599078583405566,1.2565542686692321,1.0388332602882726,8.904899195491026,Low,1486.7392997044435,Flood,14.466491163163877,Moderate,2022-07-20 13:44:15,2023-05-19 23:54:10,321.0,9.492700011510292,94.40790279513763,67.30457886357351,122200.54853722645,Yes,Chemical,Moist,Circular,No,Single,Moderate,Co98014,63.180848185477274,7.0,302.6432928538105,4.605855902042926,21.28786467944721,22.46989416360451,None,High,High,0.5370003135418133,Urea,200.71359420580598,Mid,Yes,23.296016862520425,,78.28117319261042,328.7434404403034,Uttarakhand,Haridwar,Laksar,PiranKaliyar_Cluster,5065.0,Uttam Sugar Mills Ltd,Uttarakhand,2019.0,Kharif,Mid,119.8442124420012
Apr,27.110939524624808,41.620351756831475,34.1129938370932,1462.0511409788883,661.2523639670787,89.88540900005003,27.784240488941194,9:57,6.56126219360789,6.812522277060469,19.770500613340193,6.0,4.0,Loamy,6.761849390536289,1.254658413854355,0.48642308946155677,37.3375066387897,28.716203155572995,12.480335747450756,29.81482145905331,124.59168903651285,38.55102326528463,56.314158628479575,71.25386178964845,40.125629584726525,1.8957199210183842,7.5953367263551295,0.4943859785467764,7.47125478378409,29.580749819295285,High,1012.880064574409,Sprinkler,13.128654682319041,Good,2021-10-26 21:05:28,2023-06-05 17:05:43,281.0,11.209508472000476,89.80085573889004,117.01143616228785,83395.72323940205,Yes,Manual,Wet,Trench,Yes,Single,Poor,Co0238,65.43675359666265,22.0,,2.9065838929819847,23.342681024999592,20.701342078865512,None,Low,High,,Organic,263.4581447542313,Late,No,26.94473567057258,30.19623485549195,78.19233615989782,323.30489471537385,Uttarakhand,Haridwar,Haridwar,Bahadrabad_Cluster,4253.0,Uttam Sugar Mills Ltd,Uttarakhand,2023.0,Kharif,Late,237.65345698318612
Sep,23.52165224632419,37.69095413022812,30.081417186651944,,1007.6444828054664,63.61219278391926,18.443046351814033,5:35,14.341352071261683,7.894538398123284,22.88566394176234,29.0,9.0,Loamy,6.257978498905316,0.7197150650903023,0.8045894920930128,19.885871302020806,,29.664839497365023,30.568273435102643,163.60899251041246,50.85887898904953,157.55253648922178,87.98601634192724,84.32379429843385,1.4629148214505876,3.6947674286382624,0.7209246259931097,1.7008001888859945,6.552621754480213,Medium,,Sprinkler,8.438603539959614,Saline,2020-11-28 20:13:11,2023-01-08 04:37:43,396.0,13.318685940294516,116.74259895657985,112.37034372687759,82389.99151737175,No,Chemical,Moist,Straight Row,Yes,Split,Good,Co98014,83.80853160830245,19.0,348.6447005371574,3.9872482312985795,11.707073874825046,23.864067788955403,Smut,Medium,Low,3.447590227327363,Urea,173.2465654511875,Late,Yes,15.936346141065343,29.98609383137405,78.11773292851227,285.35652167424684,Uttarakhand,Haridwar,Laksar,Manglore_Cluster,1404.0,Uttam Sugar Mills Ltd,Uttarakhand,2022.0,Rabi,Early,354.2175080908578
Nov,19.21250635242947,30.755503527679394,24.695255420438627,1370.432428946779,912.6979019621701,65.33741215606597,15.584552036989825,5:18,12.316705374009311,6.039221076448799,24.909570132101525,15.0,8.0,Alluvial,6.644192774793318,1.2820299172063565,0.42722943902484267,15.287415014507177,20.620509641379293,18.958586696664902,12.189509583819577,192.76447587962923,51.378396000619134,68.15589337578132,91.9535346026157,66.80137165971563,0.8946639343658942,8.237022178917366,1.6321854946586862,2.4486525920867033,27.01279919391321,Medium,1400.203378511681,Sprinkler,10.009973220211755,Moderate,2023-10-28 22:14:00,2024-07-26 01:51:10,312.0,7.083570132977867,103.36958332341054,127.04914466559899,116903.35796128305,No,Chemical,Moist,Trench,Yes,Single,Moderate,Co98014,74.6203434658689,13.0,243.1015414883229,4.636861222820617,12.619670130885243,15.495476209913118,Red Rot,Low,High,1.8480160699416681,DAP,201.79596006420226,Mid,No,26.108821826637453,30.00851899612874,78.19540273251933,340.84081090506146,Uttarakhand,Haridwar,Roorkee,PiranKaliyar_Cluster,3686.0,Uttam Sugar Mills Ltd,Uttarakhand,2024.0,Rabi,Mid,210.72899348457142
May,26.689268617969947,37.32462919173462,32.5741051703118,1727.5480548208507,914.6191950482367,57.144856281184076,16.062135000789322,,8.51939790313589,5.189491425420101,14.57907915672719,24.0,7.0,Sandy,6.01743983821265,1.1169400962842935,1.1602105280478707,16.785807210016962,27.398743764990567,29.2786210156717,31.4002419563857,199.4286733311462,,173.54193633997832,59.16340198383159,171.79242683735623,3.5376221328455006,4.997009897907862,2.9125070437334704,4.421380113851484,8.451203206365436,Low,1041.3618821959035,Drip,6.571938599160468,Saline,2020-12-14 05:13:11,2021-05-24 12:07:59,270.0,13.171003984130804,,80.98707727807924,71709.59027399425,Yes,Manual,Moist,Paired Row,No,Single,Moderate,Co0238,81.89852441847808,7.0,302.29950295561366,4.799629446582413,12.993456838194135,16.962936039905312,Red Rot,Low,Medium,5.400886755954235,DAP,89.13352103440843,Late,Yes,15.590084422607,30.107773637290904,78.16401349206201,315.61044345449227,Uttarakhand,Haridwar,Bhagwanpur,Landaura_Cluster,4602.0,Uttam Sugar Mills Ltd,Uttarakhand,2020.0,Rabi,Early,373.3367514202153
Nov,15.19713407897376,27.05437544701544,20.278439075774134,1326.8636479416741,643.6703900179159,85.1169444893331,22.452639620572377,6:36,3.805887502165933,3.9255338897921663,11.229593784299801,26.0,,Loamy,,0.647546378973273,1.45411321237802,31.38698956249713,40.46519999538826,30.370936156615354,,90.18386972028324,25.35491578938228,131.50445363345517,65.93429685582922,33.57553606104233,2.921736638861125,6.345285559823011,0.44475993102196243,5.860769230208435,11.854202773873123,Low,1903.8551687896481,Drip,7.251057783129653,Good,2021-09-07 18:03:59,2021-04-17 09:15:21,274.0,11.638207874488732,64.52299852160101,68.29329373676224,92940.79102700728,Yes,,Wet,Circular,Yes,Split,Moderate,CoJ64,97.63979808921735,18.0,,2.2814663934850286,10.582277264580036,20.080995168398587,Red Rot,Medium,Low,4.826093182967436,DAP,193.02502764776713,Late,Yes,42.53948008361586,29.8598245646068,78.27030825665332,268.01349172436306,Uttarakhand,Haridwar,Haridwar,Manglore_Cluster,6020.0,Uttam Sugar Mills Ltd,Uttarakhand,2022.0,Rabi,Mid,321.58178241503435
Jun,32.31383123326398,39.66964585243161,36.258178147341724,1771.6363244727052,667.7597556153348,58.987779671214234,20.053041252687972,5:56,7.7364086195829485,7.071120185658695,15.619080772966072,4.0,6.0,Sandy,7.2007088472231775,0.9553432423191379,1.2608769976281946,29.450844009941886,37.068270605696455,12.934886860442361,25.75717274750953,165.01351808782923,49.0462620702304,80.14304397189784,44.56431890731119,,3.319392141750141,4.64604385065453,1.985855792003266,7.12717603480349,25.783596654649493,High,1372.6980855820916,Flood,10.345206997971353,Saline,2022-10-18 22:14:34,2022-03-07 10:13:19,333.0,13.893478923980776,118.17837524728796,63.08022948383273,67927.55445223731,No,Manual,Moist,Paired Row,Yes,Single,Good,,93.43042655488901,10.0,233.9979302416407,4.9151031191066945,11.736476118249675,22.63581375884879,Leaf Scald,High,Medium,1.535441973306555,DAP,200.9141523946296,Late,No,48.085938880266895,30.021793782618204,78.1499195013622,333.79259261189884,Uttarakhand,Haridwar,Laksar,Bahadrabad_Cluster,3230.0,Uttam Sugar Mills Ltd,Uttarakhand,2020.0,Rabi,,208.48116208328332
